author,title
"White, Franklin",Cup of Love
"White, Franklin",Til' Death Do Us Part: A Collection of Stories
"White, Monica",Shades of Desire
"White, Thomas J.",To Hell and Back at 16
"Whitehead, Colson",The Intuitionist: A Novel
"Whitehead, Colson",Sag Harbor
"Whitehead, Colson",The Underground Railroad
"Whitfield, Shereé","Wives, Fiancées, and Side-Chicks of Hotlanta"
"Whitfield, Van","Beeperless Remote: A Guy, Some Girls & His Answering Machine"
"Whitney, Jim E.",Wayward O'er Tuner Sheffard
"Wicker, Amberlina",Made in Heaven
"Wicker, Amberlina",Private Matters
"Wideman, John E.",American Histories: Stories
"Wideman, John Edgar",Reuben
"Wideman, John Edgar",Philadelphia Fire: A Novel
"Wiggins, Jr., Walter",Dreams in Reality of the Undersea Craft
"Wilkinson, Crystal",The Birds of Opulence
"WIlkinson, Crystal E","Blackberries, Blackberries"
"Williams-Myers, Albert James",African Dreams: To Tell Their Story of Old New York
"Williams, Billy Dee and Rob MacGregor",PSI/NET
"Williams, Billy Dee; Elizabeth Atkins Bowman",Twilight: A Novel
"Williams, Chancellor",Have You Been to the River
"Williams, Dennis A.",Crossover
"Williams, Dennis A. & Spero Pines",Them That's Not
"Williams, E.G.",Not Like Niggers
"Williams, John A.",Jacob's Ladder
"Williams, Margaret I.",A Conspiracy to Ponder
"Williams, Richard Leroy",Parson Wiggin's Son
"Williams, Robyn",Preconceived Notions
"Williams, Robyn",A Twist of Fate
"WIlliams, Sheila",Dancing on the Edge of the Roof
"Williams, Synithia",A New York Kind of Love
"Williams, Wendy",Hold Me in Contempt: A Romance
"Williams, Wendy*",Ritz Harper Goes to Hollywood
"Wilson-Harris, Crystal",The Art of Love
"Wilson-Harris, Crystal",Cherish
"Wilson, D.B.",Betrayed
"Wilson, Harriet E.","Our Nig; or, Sketches from the Life a Free Black"
"Wilson, Merzie",Nealites: Doc Genius and Henry the Stud
"Wilson, Pat",The Sign of Keloa
"Winslow, Crystal Lacey","Live, Love and Loneliness"
"Winslow, Crystal Lacey",The Criss Cross
"Winslow, Crystal Lacey",Love & Lies
"Winston, Betty",The Africans
"Winters, Angela",Only You
"Winters, Angela",Island Promise
"Winters, Angela",Sweet Surrender
"Winters, Angela",The Business of Love
"Winters, Angela",A Forever Passion
"Winters, Angela",Know by Heart
"Winters, Angela",Dangerous Memories
"Winters, Angela",Love on the Run
"Winters, Angela",Saving Grace
"Winters, Angela; Louise, Kim; and Nìqui Stanhope",Season of Love
"Wise, Leonard",Dumachas And Sheba
"Wood, Odella Phelps",High Ground
"Woods, Felicia",Southern Nights
"Woods, Paula",Inner City Blues: A Charlotte Justice Novel
"Woods, Paula L",Stormy Weather
"Woods, Paula L",Dirty Laundry
"Woods, Paula L.",Dirty Laundry
"Woods, Stuart",Chiefs
"Woods, Stuart",Run Before the Wind
"Woods, Stuart",Deep Lie
"Woods, Stuart",White Cargo
"Woods, Teri",True to the Game
"Woods, Teri","Newark, New Jersey"
"Woods, Teri",Dutch II: Angel's Revenge
"Woods, Teri",Angel
"Woods, Teri",Deadly Reigns II
"Woods, Teri",True to the Game II
"Woods, Teri",True to the Game III
"Woods, Williams B.",Lancaster Triple Thousand
"Woodson, Jacqueline",Another Brooklyn
"Wright, Courtni; Perrin, Kayla; and Jancie Sims",A Very Special Love
"Wright, Elle",Her Kind of Man
"Wright, Jerome Dyson","Poor, Black And in Real Trouble"
"Wynn, Angela Patrick",Everything She Wants
"Yerby, Frank",The Odor of Sanctity
"Yerby, Frank",The Voyage Unplanned
"Yerby, Frank",Hail the Conquering Hero
"Yerby, Frank",Darkness in Ingraham's Crest
"York, Nevada",Caught Up
"Young, Al",Sister X
"Young, James L.",Helen Duval: A French Romance
"Young, Kenneth",Selene
"Young, Pamela Samuels",In Firm Pursuit
Zane,Addicted
Zane,The Sex Chronicles: Shattering the Myth
Zane,Shame On It All
Zane,Gettin Buck Wild: Sex Chronicle II
Zane,Nervous
Zane,Skyscraper: A Novel
Zane,Afterburn
Zane,Honey Flava: The Eroticanoir.com Anthology
Zane,Vengeance: A Novel
"Zane; Mason, J.D.; Cheekes, Shonda",Blackgentlemen.com
